run_id,benchmark,mode,model,field,summary_value,artifact_value,delta,status
verilogeval_pass1_qwen36_27b,verilogeval,pass1,qwen36-27b,samples,156,156,0,match
verilogeval_pass1_qwen36_27b,verilogeval,pass1,qwen36-27b,passed,96,96,0,match
verilogeval_pass1_qwen36_27b,verilogeval,pass1,qwen36-27b,compile_failure,17,17,0,match
verilogeval_pass1_qwen36_27b,verilogeval,pass1,qwen36-27b,simulation_failure,35,35,0,match
verilogeval_pass1_qwen36_27b,verilogeval,pass1,qwen36-27b,code_extraction_failure,8,8,0,match
verilogeval_pass1_qwen36_27b,verilogeval,pass1,qwen36-27b,timeout,N/A,0,,n/a
verilogeval_pass1_qwen36_27b,verilogeval,pass1,qwen36-27b,synthesis_failure,N/A,0,,n/a
verilogeval_pass1_qwen36_27b,verilogeval,pass1,qwen36-27b,equiv_failure,N/A,0,,n/a
verilogeval_pass1_qwen36_35b_a3b,verilogeval,pass1,qwen36-35b-a3b,samples,156,156,0,match
verilogeval_pass1_qwen36_35b_a3b,verilogeval,pass1,qwen36-35b-a3b,passed,89,89,0,match
verilogeval_pass1_qwen36_35b_a3b,verilogeval,pass1,qwen36-35b-a3b,compile_failure,26,26,0,match
verilogeval_pass1_qwen36_35b_a3b,verilogeval,pass1,qwen36-35b-a3b,simulation_failure,29,29,0,match
verilogeval_pass1_qwen36_35b_a3b,verilogeval,pass1,qwen36-35b-a3b,code_extraction_failure,12,12,0,match
verilogeval_pass1_qwen36_35b_a3b,verilogeval,pass1,qwen36-35b-a3b,timeout,N/A,0,,n/a
verilogeval_pass1_qwen36_35b_a3b,verilogeval,pass1,qwen36-35b-a3b,synthesis_failure,N/A,0,,n/a
verilogeval_pass1_qwen36_35b_a3b,verilogeval,pass1,qwen36-35b-a3b,equiv_failure,N/A,0,,n/a
verilogeval_pass1_qwen3_coder,verilogeval,pass1,qwen3-coder-30b-a3b-instruct,samples,156,156,0,match
verilogeval_pass1_qwen3_coder,verilogeval,pass1,qwen3-coder-30b-a3b-instruct,passed,75,75,0,match
verilogeval_pass1_qwen3_coder,verilogeval,pass1,qwen3-coder-30b-a3b-instruct,compile_failure,20,20,0,match
verilogeval_pass1_qwen3_coder,verilogeval,pass1,qwen3-coder-30b-a3b-instruct,simulation_failure,60,60,0,match
verilogeval_pass1_qwen3_coder,verilogeval,pass1,qwen3-coder-30b-a3b-instruct,code_extraction_failure,1,1,0,match
verilogeval_pass1_qwen3_coder,verilogeval,pass1,qwen3-coder-30b-a3b-instruct,timeout,N/A,0,,n/a
verilogeval_pass1_qwen3_coder,verilogeval,pass1,qwen3-coder-30b-a3b-instruct,synthesis_failure,N/A,0,,n/a
verilogeval_pass1_qwen3_coder,verilogeval,pass1,qwen3-coder-30b-a3b-instruct,equiv_failure,N/A,0,,n/a
verilogeval_pass1_qwen25_coder,verilogeval,pass1,qwen25-coder-32b,samples,156,156,0,match
verilogeval_pass1_qwen25_coder,verilogeval,pass1,qwen25-coder-32b,passed,70,70,0,match
verilogeval_pass1_qwen25_coder,verilogeval,pass1,qwen25-coder-32b,compile_failure,18,18,0,match
verilogeval_pass1_qwen25_coder,verilogeval,pass1,qwen25-coder-32b,simulation_failure,68,68,0,match
verilogeval_pass1_qwen25_coder,verilogeval,pass1,qwen25-coder-32b,code_extraction_failure,N/A,0,,n/a
verilogeval_pass1_qwen25_coder,verilogeval,pass1,qwen25-coder-32b,timeout,N/A,0,,n/a
verilogeval_pass1_qwen25_coder,verilogeval,pass1,qwen25-coder-32b,synthesis_failure,N/A,0,,n/a
verilogeval_pass1_qwen25_coder,verilogeval,pass1,qwen25-coder-32b,equiv_failure,N/A,0,,n/a
verilogeval_pass1_deepseek_coder,verilogeval,pass1,deepseek-coder-v2-lite-instruct,samples,156,156,0,match
verilogeval_pass1_deepseek_coder,verilogeval,pass1,deepseek-coder-v2-lite-instruct,passed,76,76,0,match
verilogeval_pass1_deepseek_coder,verilogeval,pass1,deepseek-coder-v2-lite-instruct,compile_failure,21,21,0,match
verilogeval_pass1_deepseek_coder,verilogeval,pass1,deepseek-coder-v2-lite-instruct,simulation_failure,58,58,0,match
verilogeval_pass1_deepseek_coder,verilogeval,pass1,deepseek-coder-v2-lite-instruct,code_extraction_failure,1,1,0,match
verilogeval_pass1_deepseek_coder,verilogeval,pass1,deepseek-coder-v2-lite-instruct,timeout,N/A,0,,n/a
verilogeval_pass1_deepseek_coder,verilogeval,pass1,deepseek-coder-v2-lite-instruct,synthesis_failure,N/A,0,,n/a
verilogeval_pass1_deepseek_coder,verilogeval,pass1,deepseek-coder-v2-lite-instruct,equiv_failure,N/A,0,,n/a
verilogeval_pass5_qwen36_27b,verilogeval,pass5,qwen36-27b,samples,780,780,0,match
verilogeval_pass5_qwen36_27b,verilogeval,pass5,qwen36-27b,passed,477,477,0,match
verilogeval_pass5_qwen36_27b,verilogeval,pass5,qwen36-27b,compile_failure,104,104,0,match
verilogeval_pass5_qwen36_27b,verilogeval,pass5,qwen36-27b,simulation_failure,144,144,0,match
verilogeval_pass5_qwen36_27b,verilogeval,pass5,qwen36-27b,code_extraction_failure,55,55,0,match
verilogeval_pass5_qwen36_27b,verilogeval,pass5,qwen36-27b,timeout,N/A,0,,n/a
verilogeval_pass5_qwen36_27b,verilogeval,pass5,qwen36-27b,synthesis_failure,N/A,0,,n/a
verilogeval_pass5_qwen36_27b,verilogeval,pass5,qwen36-27b,equiv_failure,N/A,0,,n/a
verilogeval_pass5_qwen36_35b_a3b,verilogeval,pass5,qwen36-35b-a3b,samples,780,780,0,match
verilogeval_pass5_qwen36_35b_a3b,verilogeval,pass5,qwen36-35b-a3b,passed,438,438,0,match
verilogeval_pass5_qwen36_35b_a3b,verilogeval,pass5,qwen36-35b-a3b,compile_failure,121,121,0,match
verilogeval_pass5_qwen36_35b_a3b,verilogeval,pass5,qwen36-35b-a3b,simulation_failure,143,143,0,match
verilogeval_pass5_qwen36_35b_a3b,verilogeval,pass5,qwen36-35b-a3b,code_extraction_failure,78,78,0,match
verilogeval_pass5_qwen36_35b_a3b,verilogeval,pass5,qwen36-35b-a3b,timeout,N/A,0,,n/a
verilogeval_pass5_qwen36_35b_a3b,verilogeval,pass5,qwen36-35b-a3b,synthesis_failure,N/A,0,,n/a
verilogeval_pass5_qwen36_35b_a3b,verilogeval,pass5,qwen36-35b-a3b,equiv_failure,N/A,0,,n/a
verilogeval_pass5_qwen3_coder,verilogeval,pass5,qwen3-coder-30b-a3b-instruct,samples,780,780,0,match
verilogeval_pass5_qwen3_coder,verilogeval,pass5,qwen3-coder-30b-a3b-instruct,passed,378,378,0,match
verilogeval_pass5_qwen3_coder,verilogeval,pass5,qwen3-coder-30b-a3b-instruct,compile_failure,101,101,0,match
verilogeval_pass5_qwen3_coder,verilogeval,pass5,qwen3-coder-30b-a3b-instruct,simulation_failure,295,295,0,match
