benchmark,prompt_profile,status,samples,pass_count,syntax_pass_count,syntax_pass_rate,functional_or_equiv_pass_count,functional_or_equiv_pass_rate,failure_categories,output_path
verilogeval,neutral_baseline,finished,3,3,3,1.0,3,1.0,"{""passed"": 3}",outputs/experiments/v0.3_prompt_profiles/verilogeval/neutral_baseline/verilogeval/qwen36-27b/20260615T044227Z
verilogeval,strict_rtl_only,finished,3,3,3,1.0,3,1.0,"{""passed"": 3}",outputs/experiments/v0.3_prompt_profiles/verilogeval/strict_rtl_only/verilogeval/qwen36-27b/20260615T044233Z
verilogeval,low_area_low_power,finished,3,3,3,1.0,3,1.0,"{""passed"": 3}",outputs/experiments/v0.3_prompt_profiles/verilogeval/low_area_low_power/verilogeval/qwen36-27b/20260615T051024Z
verilogeval,no_explanation_code_only,finished,3,3,3,1.0,3,1.0,"{""passed"": 3}",outputs/experiments/v0.3_prompt_profiles/verilogeval/no_explanation_code_only/verilogeval/qwen36-27b/20260615T051031Z
rtllm2,neutral_baseline,finished,3,2,3,1.0,2,0.6666666666666666,"{""passed"": 2, ""simulation_failure"": 1}",outputs/experiments/v0.3_prompt_profiles/rtllm2/neutral_baseline/rtllm2/qwen36-27b/20260615T061206Z
rtllm2,strict_rtl_only,finished,3,2,3,1.0,2,0.6666666666666666,"{""passed"": 2, ""simulation_failure"": 1}",outputs/experiments/v0.3_prompt_profiles/rtllm2/strict_rtl_only/rtllm2/qwen36-27b/20260615T061257Z
rtllm2,low_area_low_power,finished,3,2,3,1.0,2,0.6666666666666666,"{""passed"": 2, ""simulation_failure"": 1}",outputs/experiments/v0.3_prompt_profiles/rtllm2/low_area_low_power/rtllm2/qwen36-27b/20260615T061337Z
rtllm2,no_explanation_code_only,finished,3,1,2,0.6666666666666666,1,0.3333333333333333,"{""compile_failure"": 1, ""passed"": 1, ""simulation_failure"": 1}",outputs/experiments/v0.3_prompt_profiles/rtllm2/no_explanation_code_only/rtllm2/qwen36-27b/20260615T061433Z
rtlopt,neutral_baseline,finished,3,2,3,1.0,2,0.6666666666666666,"{""equiv_failure"": 1, ""passed"": 2}",outputs/experiments/v0.3_prompt_profiles/rtlopt/neutral_baseline/rtlopt/qwen36-27b/20260615T064049Z
rtlopt,strict_rtl_only,finished,3,2,3,1.0,2,0.6666666666666666,"{""equiv_failure"": 1, ""passed"": 2}",outputs/experiments/v0.3_prompt_profiles/rtlopt/strict_rtl_only/rtlopt/qwen36-27b/20260615T064115Z
rtlopt,low_area_low_power,finished,3,1,3,1.0,1,0.3333333333333333,"{""equiv_failure"": 2, ""passed"": 1}",outputs/experiments/v0.3_prompt_profiles/rtlopt/low_area_low_power/rtlopt/qwen36-27b/20260615T064129Z
rtlopt,no_explanation_code_only,finished,3,1,3,1.0,1,0.3333333333333333,"{""equiv_failure"": 2, ""passed"": 1}",outputs/experiments/v0.3_prompt_profiles/rtlopt/no_explanation_code_only/rtlopt/qwen36-27b/20260615T064201Z
